101,CANDIDO MOTA,25,249/5,1,06301,2495,SP
102,CANDIDO RODRIGUES,25,250/1,1,06303,2501,SP
103,CAPAO BONITO,25,251/3,1,06305,2513,SP
104,CAPELA DO ALTO,25,252/5,1,06307,2525,SP
105,CAPIVARI,25,253/7,1,06309,2537,SP
106,CARAGUATATUBA,25,254/9,1,06311,2549,SP
107,CARAPICUIBA,25,255/0,1,06313,2550,SP
108,CARDOSO,25,256/2,1,06315,2562,SP
109,CASA BRANCA,25,257/4,1,06317,2574,SP
110,CASSIA DOS COQUEIROS,25,258/6,1,06319,2586,SP
111,CASTILHO,25,259/8,1,06321,2598,SP
112,CATANDUVA,25,260/4,1,06323,2604,SP
113,CATIGUA,25,261/6,1,06325,2616,SP
114,CEDRAL ,25,262/8,1,06327,2628,SP
115,CERQUEIRA CESAR,25,263/0,1,06329,2630,SP
116,CESARIO LANGE,25,264/1,1,06333,2641,SP
117,CERQUILHO,25,265/3,1,06331,2653,SP
118,CHARQUEADA,25,266/5,1,06335,2665,SP
119,CLEMENTINA,25,267/7,1,06339,2677,SP
120,COLINA,25,268/9,1,06341,2689,SP
121,COLOMBIA,25,269/0,1,06343,2690,SP
122,CONCHAL,25,270/7,1,06345,2707,SP
123,CONCHAS,25,271/9,1,06347,2719,SP
124,CORDEIROPOLIS,25,272/0,1,06349,2720,SP
125,COROADOS,25,273/2,1,06351,2732,SP
126,CORONEL MACEDO,25,274/4,1,06353,2744,SP
127,CORUMBATAI,25,275/6,1,06355,2756,SP
128,COSMOPOLIS,25,276/8,1,06357,2768,SP
129,COSMORAMA,25,277/0,1,06359,2770,SP
130,COTIA,25,278/1,1,06361,2781,SP
131,CRAVINHOS,25,279/3,1,06363,2793,SP
132,CRISTAIS PAULISTA,25,280/0,1,06365,2800,SP
133,CRUZALIA,25,281/1,1,06367,2811,SP
134,CRUZEIRO,25,282/3,1,06369,2823,SP
135,CUBATAO,25,283/5,1,06371,2835,SP
136,CUNHA,25,284/7,1,06373,2847,SP
137,DESCALVADO,25,285/9,1,06375,2859,SP
138,DIADEMA,25,286/0,1,06377,2860,SP
139,DIVINOLANDIA,25,287/2,1,06379,2872,SP
140,DOBRADA,25,288/4,1,06381,2884,SP
141,DOIS CORREGOS,25,289/6,1,06383,2896,SP
142,DOLCINOPOLIS,25,290/2,1,06385,2902,SP
143,DOURADO,25,291/4,1,06387,2914,SP
144,DRACENA,25,292/6,1,06389,2926,SP
145,DUARTINA,25,293/8,1,06391,2938,SP
146,DUMONT,25,294/0,1,06393,2940,SP
147,ECHAPORA,25,295/1,1,06395,2951,SP
148,ELDORADO ,25,296/3,1,06397,2963,SP
149,ELIAS FAUSTO,25,297/5,1,06399,2975,SP
150,EMBU DAS ARTES,25,298/7,1,06401,2987,SP
151,EMBU GUACU,25,299/9,1,06403,,SP
152,ESTRELA DO NORTE ,25,300/1,1,06407,3001,SP
153,ESTRELA D OESTE,25,301/3,1,06405,,SP
154,FARTURA,25,302/5,1,06409,3025,SP
155,FERNANDO PRESTES,25,303/7,1,06413,3037,SP
156,FERNANDOPOLIS,25,304/9,1,06411,3049,SP
157,FERRAZ DE VASCONCELOS,25,305/0,1,06415,3050,SP
158,FLORA RICA,25,306/2,1,06417,3062,SP
159,FLOREAL,25,307/4,1,06419,3074,SP
160,FLORIDA PAULISTA,25,308/6,1,06421,3086,SP
161,FLORINIA,25,309/8,1,06423,,SP
162,FRANCA,25,310/4,1,06425,3104,SP
163,FRANCISCO MORATO,25,311/6,1,06427,3116,SP
164,FRANCO DA ROCHA,25,312/8,1,06429,3128,SP
165,GABRIEL MONTEIRO,25,313/0,1,06431,3130,SP
166,GALIA,25,314/1,1,06433,3141,SP
167,GARCA,25,315/3,1,06435,3153,SP
168,GASTAO VIDIGAL,25,316/5,1,06437,3165,SP
169,GENERAL SALGADO,25,317/7,1,06439,3177,SP
170,GETULINA,25,318/9,1,06441,3189,SP
171,GLICERIO,25,319/0,1,06443,3190,SP
172,GUAICARA,25,320/7,1,06445,3207,SP
173,GUAIMBE,25,321/9,1,06447,3219,SP
174,GUAIRA ,25,322/0,1,06449,3220,SP
175,GUAPIACU,25,323/2,1,06451,3232,SP
176,GUAPIARA,25,324/4,1,06453,3244,SP
177,GUARA,25,325/6,1,06455,3256,SP
178,GUARACAI,25,326/8,1,06457,3268,SP
179,GUARACI ,25,327/0,1,06459,3270,SP
180,GUARANI DOESTE,25,328/1,1,06461,,SP
181,GUARANTA,25,329/3,1,06463,3293,SP
182,GUARARAPES,25,330/0,1,06465,3300,SP
183,GUARAREMA,25,331/1,1,06467,3311,SP
184,GUARATINGUETA,25,332/3,1,06469,3323,SP
185,GUAREI,25,333/5,1,06471,3335,SP
186,GUARIBA,25,334/7,1,06473,3347,SP
187,GUARUJA,25,335/9,1,06475,3359,SP
188,GUARULHOS,25,336/0,1,06477,3360,SP
189,GUZOLANDIA,25,337/2,1,06479,3372,SP
190,HERCULANDIA,25,338/4,1,06481,3384,SP
191,IACANGA,25,339/6,1,06483,3396,SP
192,IACRI,25,340/2,1,06485,3402,SP
193,IBATE,25,341/4,1,06487,3414,SP
194,IBIRA,25,342/6,1,06489,3426,SP
195,IBIRAREMA,25,343/8,1,06491,3438,SP
196,IBITINGA,25,344/0,1,06493,3440,SP
197,IBIUNA,25,345/1,1,06495,3451,SP
198,ICEM,25,346/3,1,06497,3463,SP
199,IEPE,25,347/5,1,06499,3475,SP
200,IGARACU DO TIETE,25,348/7,1,06501,3487,SP
201,IGARAPAVA,25,349/9,1,06503,3499,SP
202,IGARATA,25,350/5,1,06505,3505,SP
203,IGUAPE,25,351/7,1,06507,3517,SP
204,ILHABELA,25,352/9,1,06509,3529,SP
205,INDAIATUBA,25,353/0,1,06511,3530,SP
206,INDIANA,25,354/2,1,06513,3542,SP
207,INDIAPORA,25,355/4,1,06515,3554,SP
208,INUBIA PAULISTA,25,356/6,1,06517,3566,SP
209,IPAUSSU,25,357/8,1,06519,3578,SP
210,IPERO,25,358/0,1,06521,3580,SP
211,IPEUNA,25,359/1,1,06523,3591,SP
212,IPORANGA,25,360/8,1,06525,3608,SP
213,IPUA,25,361/0,1,06527,3610,SP
214,IRACEMAPOLIS,25,362/1,1,06529,3621,SP
215,IRAPUA,25,363/3,1,06531,3633,SP
216,IRAPURU,25,364/5,1,06533,3645,SP
217,ITABERA,25,365/7,1,06535,3657,SP
218,ITAI,25,366/9,1,06537,3669,SP
219,ITAJOBI,25,367/0,1,06539,3670,SP
220,ITAJU,25,368/2,1,06541,3682,SP
221,ITANHAEM,25,369/4,1,06543,3694,SP
222,ITAPECERICA DA SERRA,25,370/0,1,06545,3700,SP
223,ITAPETININGA,25,371/2,1,06547,3712,SP
224,ITAPEVA ,25,372/4,1,06549,3724,SP
225,ITAPEVI,25,373/6,1,06551,3736,SP
226,ITAPIRA,25,374/8,1,06553,3748,SP
227,ITAPOLIS,25,375/0,1,06555,3750,SP
228,ITAPORANGA ,25,376/1,1,06557,3761,SP
229,ITAPUI,25,377/3,1,06559,3773,SP
230,ITAPURA,25,378/5,1,06561,3785,SP
231,ITAQUAQUECETUBA,25,379/7,1,06563,3797,SP
232,ITARARE,25,380/3,1,06565,3803,SP
233,ITARIRI,25,381/5,1,06567,3815,SP
234,ITATIBA,25,382/7,1,06569,3827,SP
235,ITATINGA,25,383/9,1,06571,3839,SP
236,ITIRAPINA,25,384/0,1,06573,3840,SP
237,ITIRAPUA,25,385/2,1,06575,3852,SP
238,ITOBI,25,386/4,1,06577,3864,SP
239,ITU,25,387/6,1,06579,3876,SP
240,ITUPEVA,25,388/8,1,06581,3888,SP
241,ITUVERAVA,25,389/0,1,06583,3890,SP
242,JABORANDI ,25,390/6,1,06585,3906,SP
243,JABOTICABAL,25,391/8,1,06587,3918,SP
244,JACAREI,25,392/0,1,06589,3920,SP
245,JACI,25,393/1,1,06591,3931,SP
246,JACUPIRANGA,25,394/3,1,06593,3943,SP
247,JAGUARIUNA,25,395/5,1,06595,3955,SP
248,ARABUTA,24,"",1,05597,1005597,SC
249,JALES,25,396/7,1,06597,3967,SP
250,JAMBEIRO,25,397/9,1,06599,3979,SP
251,JANDIRA,25,398/0,1,06601,3980,SP
252,JARDINOPOLIS ,25,399/2,1,06603,3992,SP
253,JARINU,25,400/5,1,06605,4005,SP
254,JAU,25,401/7,1,06607,4017,SP
255,JERIQUARA,25,402/9,1,06609,4029,SP
256,JOANOPOLIS,25,403/0,1,06611,4030,SP
257,JOAO RAMALHO,25,404/2,1,06613,4042,SP
258,JOSE BONIFACIO,25,405/4,1,06615,4054,SP
259,JULIO MESQUITA,25,406/6,1,06617,4066,SP
260,JUNDIAI,25,407/8,1,06619,4078,SP
261,JUNQUEIROPOLIS,25,408/0,1,06621,4080,SP
262,JUQUIA,25,409/1,1,06623,4091,SP
263,JUQUITIBA,25,410/8,1,06625,4108,SP
264,LAGOINHA,25,411/0,1,06627,4110,SP
265,LARANJAL PAULISTA,25,412/1,1,06629,4121,SP
266,LAVINIA,25,413/3,1,06631,4133,SP
267,LAVRINHAS,25,414/5,1,06633,4145,SP
268,LEME,25,415/7,1,06635,4157,SP
269,LENCOIS PAULISTA,25,416/9,1,06637,4169,SP
270,LIMEIRA,25,417/0,1,06639,4170,SP
271,LINDOIA,25,418/2,1,06641,4182,SP
272,LINS,25,419/4,1,06643,4194,SP
273,LORENA,25,420/0,1,06645,4200,SP
274,LOUVEIRA,25,421/2,1,06647,4212,SP
275,LUCELIA,25,422/4,1,06649,4224,SP
276,LUCIANOPOLIS,25,423/6,1,06651,4236,SP
277,LUIS ANTONIO,25,424/8,1,06653,,SP
278,LUIZIANIA,25,425/0,1,06655,4250,SP
279,LUPERCIO,25,426/1,1,06657,4261,SP
280,LUTECIA,25,427/3,1,06659,4273,SP
281,MACATUBA,25,428/5,1,06661,4285,SP
282,MACAUBAL,25,429/7,1,06663,4297,SP
283,MACEDONIA,25,430/3,1,06665,4303,SP
284,MAGDA,25,431/5,1,06667,4315,SP
285,MAIRINQUE,25,432/7,1,06669,4327,SP
286,MAIRIPORA,25,433/9,1,06671,4339,SP
287,MANDURI,25,434/0,1,06673,4340,SP
288,MARABA PAULISTA,25,435/2,1,06675,4352,SP
289,MARACAI,25,436/4,1,06677,4364,SP
290,MARIAPOLIS,25,437/6,1,06679,4376,SP
291,MARILIA,25,438/8,1,06681,4388,SP
292,MARINOPOLIS,25,439/0,1,06683,4390,SP
293,MARTINOPOLIS,25,440/6,1,06685,4406,SP
294,MATAO,25,441/8,1,06687,4418,SP
295,MAUA,25,442/0,1,06689,4420,SP
296,MENDONCA,25,443/1,1,06691,4431,SP
297,MERIDIANO,25,444/3,1,06693,4443,SP
298,MIGUELOPOLIS,25,445/5,1,06695,4455,SP
299,MINEIROS DO TIETE,25,446/7,1,06697,4467,SP
300,MIRA ESTRELA,25,447/9,1,06701,4479,SP
301,MIRACATU,25,448/0,1,06699,4480,SP
302,MIRANDOPOLIS,25,449/2,1,06703,4492,SP
303,MIRANTE DO PARANAPANEMA,25,450/9,1,06705,4509,SP
304,MIRASSOL,25,451/0,1,06707,4510,SP
305,MIRASSOLANDIA,25,452/2,1,06709,4522,SP
306,MOCOCA,25,453/4,1,06711,4534,SP
307,MOGI DAS CRUZES,25,454/6,1,06713,4546,SP
308,MOGI GUACU,25,455/8,1,06715,,SP
309,MOGI MIRIM,25,456/0,1,06717,,SP
310,MOMBUCA,25,457/1,1,06719,4571,SP
311,MONCOES,25,458/3,1,06721,4583,SP
312,MONGAGUA,25,459/5,1,06723,4595,SP
313,MONTE ALEGRE DO SUL,25,460/1,1,06725,4601,SP
314,MONTE ALTO,25,461/3,1,06727,4613,SP
315,MONTE APRAZIVEL,25,462/5,1,06729,4625,SP
316,MONTE AZUL PAULISTA,25,463/7,1,06731,4637,SP
317,MONTE CASTELO ,25,464/9,1,06733,4649,SP
318,MONTE MOR,25,465/0,1,06737,4650,SP
319,MONTEIRO LOBATO,25,466/2,1,06735,4662,SP
320,MORRO AGUDO,25,467/4,1,06739,4674,SP
321,MORUNGABA,25,468/6,1,06741,4686,SP
322,MURUTINGA DO SUL,25,469/8,1,06743,4698,SP
323,NARANDIBA,25,470/4,1,06745,4704,SP
324,NATIVIDADE DA SERRA,25,471/6,1,06747,4716,SP
325,NAZARE PAULISTA,25,472/8,1,06749,4728,SP
326,NEVES PAULISTA,25,473/0,1,06751,4730,SP
327,NHANDEARA,25,474/1,1,06753,4741,SP
328,NIPOA,25,475/3,1,06755,4753,SP
329,NOVA ALIANCA,25,476/5,1,06757,4765,SP
330,NOVA EUROPA,25,477/7,1,06759,4777,SP
331,NOVA GRANADA,25,478/9,1,06761,4789,SP
332,NOVA GUATAPORANGA,25,479/0,1,06763,4790,SP
333,NOVA INDEPENDENCIA,25,480/7,1,06765,4807,SP
334,NOVA LUZITANIA,25,481/9,1,06767,4819,SP
335,NOVA ODESSA,25,482/0,1,06769,4820,SP
336,NOVO HORIZONTE  ,25,483/2,1,06771,4832,SP
337,NUPORANGA,25,484/4,1,06773,4844,SP
338,OCAUCU,25,485/6,1,06775,4856,SP
339,OLEO,25,486/8,1,06777,4868,SP
340,OLIMPIA,25,487/0,1,06779,4870,SP
341,ONDA VERDE,25,488/1,1,06781,4881,SP
342,ORIENTE,25,489/3,1,06783,4893,SP
343,ORINDIUVA,25,490/0,1,06785,4900,SP
344,ORLANDIA,25,491/1,1,06787,4911,SP
345,OSASCO,25,492/3,1,06789,4923,SP
346,OSCAR BRESSANE,25,493/5,1,06791,4935,SP
347,OSVALDO CRUZ,25,494/7,1,06793,4947,SP
348,OURINHOS,25,495/9,1,06795,4959,SP
349,OURO VERDE ,25,496/0,1,06797,4960,SP
350,PACAEMBU,25,497/2,1,06799,4972,SP
351,PALESTINA ,25,498/4,1,06801,4984,SP
352,PALMARES PAULISTA,25,499/6,1,06803,4996,SP
353,PALMEIRA DOESTE,25,500/9,1,06805,,SP
354,PALMITAL ,25,501/0,1,06807,5010,SP
355,PANORAMA,25,502/2,1,06809,5022,SP
356,PARAGUACU PAULISTA,25,503/4,1,06811,5034,SP
357,PARAIBUNA,25,504/6,1,06813,5046,SP
358,PARAISO ,25,505/8,1,06815,5058,SP
359,PARANAPANEMA,25,506/0,1,06817,5060,SP
360,PARDINHO,25,507/1,1,06823,5071,SP
361,PARANAPUA,25,508/3,1,06819,5083,SP
362,PARAPUA,25,509/5,1,06821,5095,SP
363,PARIQUERA-ACU,25,510/1,1,06825,5101,SP
364,PATROCINIO PAULISTA,25,511/3,1,06827,5113,SP
365,PAULICEIA,25,512/5,1,06829,5125,SP
366,PAULINIA,25,513/7,1,06831,5137,SP
367,PAULO DE FARIA,25,514/9,1,06833,5149,SP
368,PEDERNEIRAS,25,515/0,1,06835,5150,SP
369,PEDRA BELA,25,516/2,1,06837,5162,SP
370,PEDRANOPOLIS,25,517/4,1,06839,5174,SP
371,PEDREGULHO,25,518/6,1,06841,5186,SP
372,PEDREIRA,25,519/8,1,06843,5198,SP
373,PEDRO DE TOLEDO,25,520/4,1,06845,5204,SP
374,PENAPOLIS,25,521/6,1,06847,5216,SP
375,PEREIRA BARRETO,25,522/8,1,06849,5228,SP
376,PEREIRAS,25,523/0,1,06851,5230,SP
377,PERUIBE,25,524/1,1,06853,5241,SP
378,PIACATU,25,525/3,1,06855,5253,SP
379,PIEDADE,25,526/5,1,06857,5265,SP
380,PILAR DO SUL,25,527/7,1,06859,5277,SP
381,PINDAMONHANGABA,25,528/9,1,06861,5289,SP
382,PINDORAMA,25,529/0,1,06863,5290,SP
383,ESPIRITO SANTO DO PINHAL,25,530/7,1,06865,5307,SP
384,PINHALZINHO ,25,531/9,1,06867,5319,SP
385,PIQUEROBI,25,532/0,1,06869,5320,SP
386,PIQUETE,25,533/2,1,06871,5332,SP
387,PIRACAIA,25,534/4,1,06873,5344,SP
388,PIRACICABA,25,535/6,1,06875,5356,SP
389,PIRASSUNUNGA,25,536/8,1,06887,5368,SP
390,PIRAJU,25,537/0,1,06877,5370,SP
391,PIRAJUI,25,538/1,1,06879,5381,SP
392,PIRANGI,25,539/3,1,06881,5393,SP
393,PIRAPORA DO BOM JESUS,25,540/0,1,06883,5400,SP
394,PIRAPOZINHO,25,541/1,1,06885,5411,SP
395,PIRATININGA,25,542/3,1,06889,5423,SP
